Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap
331,Emmvee Photovoltaic Power Ltd.,EMMVEE,Capital Goods,Electric Equipment,22269
332,Urban Company Ltd.,URBANCO,Other,Professional Services,22261
333,CESC Ltd.,CESC,Power,Power Generation/Distribution,22256
334,Carborundum Universal Ltd.,CARBORUNIV,Abrasives,Abrasives,21943
335,Aadhar Housing Finance Ltd.,AADHARHFC,Finance,Finance - Housing,21843
336,Capri Global Capital Ltd.,CGCL,Finance,Finance - Investment,21798
337,Tenneco Clean Air India Ltd.,TENNIND,Automobile & Ancillaries,Auto Ancillary,21748
338,The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,Cement & Construction Materials,21428
339,Granules India Ltd.,GRANULES,Healthcare,Pharmaceuticals & Drugs,21263
340,Indraprastha Gas Ltd.,IGL,Gas Transmission,Gas Transmission/Marketing,21245
341,Prime Focus Ltd.,PFOCUS,Other,Business Support,20930
342,IFCI Ltd.,IFCI,Finance,Finance Term Lending,20735
343,City Union Bank Ltd.,CUB,Banking,Bank - Private,20678
344,Atul Ltd.,ATUL,Chemicals,Chemicals,19824
345,Sagility Ltd.,SAGILITY,Other,Business Support,19779
346,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Crude Oil,Refineries,19691
347,Kajaria Ceramics Ltd.,KAJARIACER,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,19688
348,Aarti Industries Ltd.,AARTIIND,Chemicals,Chemicals,19359
349,Brigade Enterprises Ltd.,BRIGADE,Realty,Construction - Real Estate,19318
350,Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods,Compressors / Pumps,19301
351,Sun TV Network Ltd.,SUNTV,Media & Entertainment,TV Broadcasting & Software Production,19097
352,Finolex Cables Ltd.,FINCABLES,Electricals,Cable,19031
353,Pine Labs Ltd.,PINELABS,Information Technology,Fintech,19021
354,Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,Chemicals,Chemicals,18970
355,Computer Age Management Services Ltd.,CAMS,Finance,Depository Services,18945
356,Firstsource Solutions Ltd.,FSL,Information Technology,BPO/ITeS,18933
357,Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,Pharmaceuticals & Drugs,18855
358,Triveni Turbine Ltd.,TRITURBINE,Capital Goods,Engineering - Industrial Equipments,18829
359,Eris Lifesciences Ltd.,ERIS,Healthcare,Pharmaceuticals & Drugs,18828
360,HBL Engineering Ltd.,HBLENGINE,Automobile & Ancillaries,Batteries,18812
361,Jyoti CNC Automation Ltd.,JYOTICNC,Capital Goods,Engineering - Industrial Equipments,18781
362,EIH Ltd.,EIHOTEL,Hospitality,"Hotel, Resort & Restaurants",18773
363,Sarda Energy & Minerals Ltd.,SARDAEN,Iron & Steel,Steel & Iron Products,18701
364,Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining,Mining & Minerals,18474
365,Castrol India Ltd.,CASTROLIND,Automobile & Ancillaries,Lubricants,18457
366,The Great Eastern Shipping Company Ltd.,GESHIP,Logistics,Shipping,18327
367,Bayer CropScience Ltd.,BAYERCROP,Chemicals,Pesticides & Agrochemicals,18193
368,Poly Medicure Ltd.,POLYMED,Healthcare,Medical Equipment/Supplies/Accessories,18126
369,Chalet Hotels Ltd.,CHALET,Hospitality,"Hotel, Resort & Restaurants",18092
370,Travel Food Services Ltd.,TRAVELFOOD,Hospitality,Restaurants,17993
371,OLA Electric Mobility Ltd.,OLAELEC,Automobile & Ancillaries,Automobile Two & Three Wheelers,17921
372,Choice International Ltd.,CHOICEIN,Finance,Finance - Stock Broking,17909
373,eClerx Services Ltd.,ECLERX,Information Technology,BPO/ITeS,17834
374,Onesource Specialty Pharma Ltd.,ONESOURCE,Healthcare,Pharmaceuticals & Drugs,17794
375,Devyani International Ltd.,DEVYANI,Fast Moving Consumer Goods,Consumer Food,17767
376,Sammaan Capital Ltd.,SAMMAANCAP,Finance,Finance - Housing,17754
377,Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,Chemicals,Fertilizers,17743
378,JSW Cement Ltd.,JSWCEMENT,Construction Materials,Cement & Construction Materials,17731
379,TBO Tek Ltd.,TBOTEK,Hospitality,Travel Services,17706
380,Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,Household & Personal Products,17589
381,Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile & Ancillaries,Batteries,17321
382,PG Electroplast Ltd.,PGEL,Consumer Durables,Consumer Durables - Domestic Appliances,17234
383,Minda Corporation Ltd.,MINDACORP,Automobile & Ancillaries,Auto Ancillary,17208
384,The Jammu & Kashmir Bank Ltd.,J&KBANK,Banking,Bank - Private,17145
385,Vardhman Textiles Ltd.,VTL,Textile,Textile,17105
386,Tata Chemicals Ltd.,TATACHEM,Chemicals,Chemicals,17079
387,Jindal Saw Ltd.,JINDALSAW,Iron & Steel,Steel & Iron Products,17040
388,Leela Palaces Hotels & Resorts Ltd.,THELEELA,Hospitality,"Hotel, Resort & Restaurants",17032
389,Cohance Lifesciences Ltd.,COHANCE,Healthcare,Pharmaceuticals & Drugs,16873
390,KPIT Technologies Ltd.,KPITTECH,Information Technology,IT - Software,16805
391,Zen Technologies Ltd.,ZENTEC,Capital Goods,Aerospace & Defense,16780
392,Allied Blenders And Distillers Ltd.,ABDL,Alcohol,Breweries & Distilleries,16780
393,Honasa Consumer Ltd.,HONASA,Trading,Trading,16391
394,KFin Technologies Ltd.,KFINTECH,Finance,Depository Services,16267
395,Five-Star Business Finance Ltd.,FIVESTAR,Finance,Finance - NBFC,16263
396,Nava Ltd.,NAVA,Ferro Manganese,Ferro & Silica Manganese,16259
397,Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,Consumer Food,16236
398,Syngene International Ltd.,SYNGENE,Healthcare,Pharmaceuticals & Drugs,16201
399,Natco Pharma Ltd.,NATCOPHARM,Healthcare,Pharmaceuticals & Drugs,16163
400,DCM Shriram Ltd.,DCMSHRIRAM,Diversified,Diversified,15950
401,Godawari Power And Ispat Ltd.,GPIL,Iron & Steel,Steel & Iron Products,15858
402,Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,Consumer Durables - Domestic Appliances,15840
403,Aditya Birla Real Estate Ltd.,ABREL,Realty,Construction - Real Estate,15651
404,BEML Ltd.,BEML,Capital Goods,Construction Vehicles,15597
405,Welspun Living Ltd.,WELSPUNLIV,Textile,Textile,15503
406,CIE Automotive India Ltd.,CIEINDIA,Automobile & Ancillaries,Auto Ancillary,15470
407,Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,Consumer Food,15376
408,Paradeep Phosphates Ltd.,PARADEEP,Chemicals,Fertilizers,15349
409,Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Finance,Insurance,15310
410,Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,Hospital & Healthcare Services,15191
411,CCL Products (India) Ltd.,CCL,Agriculture,Tea/Coffee,15164
412,Concord Biotech Ltd.,CONCORDBIO,Healthcare,Pharmaceuticals & Drugs,15129
413,International Gemological Institute Ltd.,IGIL,Other,Business Support,14953
414,Ceat Ltd.,CEATLTD,Automobile & Ancillaries,Tyres & Allied,14919
415,Usha Martin Ltd.,USHAMART,Iron & Steel,Steel & Iron Products,14873
416,Rainbow Children's Medicare Ltd.,RAINBOW,Healthcare,Hospital & Healthcare Services,14871
417,JBM Auto Ltd.,JBMA,Automobile & Ancillaries,Auto Ancillary,14738
418,LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,Consumer Food,14571
419,JSW Dulux Ltd.,JSWDULUX,Chemicals,Paints,14430
420,Sobha Ltd.,SOBHA,Realty,Construction - Real Estate,14211
421,Canara HSBC Life Insurance Company Ltd.,CANHLIFE,Finance,Insurance,14112
422,Graphite India Ltd.,GRAPHITE,Capital Goods,Electrodes & Welding Equipment,14100
423,Gallantt Ispat Ltd.,GALLANTT,Iron & Steel,Steel & Iron Products,14005
424,E.I.D. - Parry (India) Ltd.,EIDPARRY,Agriculture,Sugar,13794
425,Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,Pharmaceuticals & Drugs,13769
426,Anupam Rasayan India Ltd.,ANURAS,Chemicals,Chemicals,13764
427,Engineers India Ltd.,ENGINERSIN,Infrastructure,Engineering - Construction,13700
428,Supreme Petrochem Ltd.,SPLPETRO,Crude Oil,Petrochemicals,13660
429,Shipping Corporation Of India Ltd.,SCI,Logistics,Shipping,13611
430,HEG Ltd.,HEG,Capital Goods,Electrodes & Welding Equipment,13522
431,CarTrade Tech Ltd.,CARTRADE,Information Technology,e-Commerce,13517
432,DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,Printing & Stationery,13445
433,Indegene Ltd.,INDGN,Other,Business Support,13364
434,Ramkrishna Forgings Ltd.,RKFORGE,Automobile & Ancillaries,Forgings,13341
435,Gravita India Ltd.,GRAVITA,Non - Ferrous Metals,Metal - Non Ferrous,13238
436,Balrampur Chini Mills Ltd.,BALRAMCHIN,Agriculture,Sugar,13215
437,NMDC Steel Ltd.,NSLNISP,Iron & Steel,Steel & Iron Products,13038
438,Action Construction Equipment Ltd.,ACE,Capital Goods,Construction Vehicles,12930
439,Tega Industries Ltd.,TEGA,Capital Goods,Engineering - Industrial Equipments,12804
440,Inox Wind Ltd.,INOXWIND,Capital Goods,Electric Equipment,12737
441,Aptus Value Housing Finance India Ltd.,APTUS,Finance,Finance - Housing,12540
442,Trident Ltd.,TRIDENT,Textile,Textile - Spinning,12398
443,Home First Finance Company India Ltd.,HOMEFIRST,Finance,Finance - Housing,12287
444,Blue Dart Express Ltd.,BLUEDART,Logistics,Courier  Services,12209
445,PCBL Chemical Ltd.,PCBL,Chemicals,Carbon Black,12193
446,JM Financial Ltd.,JMFINANCIL,Finance,Finance - Investment,12101
447,Jaiprakash Power Ventures Ltd.,JPPOWER,Power,Power Generation/Distribution,11911
448,Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,Cement & Construction Materials,11834
449,Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,Chemicals,11755
450,Ircon International Ltd.,IRCON,Infrastructure,Engineering - Construction,11742
451,KEC International Ltd.,KEC,Infrastructure,Engineering - Construction,11710
452,UTI Asset Management Company Ltd.,UTIAMC,Finance,Finance - Asset Management,11671
453,The India Cements Ltd.,INDIACEM,Construction Materials,Cement & Construction Materials,11627
454,PVR Inox Ltd.,PVRINOX,Media & Entertainment,"Film Production, Distribution & Entertainment",11523
455,BLS International Services Ltd.,BLS,Hospitality,Travel Services,11451
456,Signatureglobal (India) Ltd.,SIGNATURE,Realty,Construction - Real Estate,11408
457,Techno Electric & Engineering Company Ltd.,TECHNOE,Infrastructure,Engineering - Construction,11270
458,Mahanagar Gas Ltd.,MGL,Gas Transmission,Gas Transmission/Marketing,11261
459,Titagarh Rail Systems Ltd.,TITAGARH,Automobile & Ancillaries,Railways Wagons/Coaches,11211
460,Zensar Technologies Ltd.,ZENSARTECH,Information Technology,IT - Software,11172
461,Indian Energy Exchange Ltd.,IEX,Power,Power Generation/Distribution,11079
462,JK Tyre & Industries Ltd.,JKTYRE,Automobile & Ancillaries,Tyres & Allied,11078
463,Aavas Financiers Ltd.,AAVAS,Finance,Finance - Housing,11068
464,Blue Jet Healthcare Ltd.,BLUEJET,Healthcare,Pharmaceuticals & Drugs,11056
465,Jupiter Wagons Ltd.,JWL,Automobile & Ancillaries,Railways Wagons/Coaches,10960
466,Can Fin Homes Ltd.,CANFINHOME,Finance,Finance - Housing,10911
467,Aditya Birla Lifestyle Brands Ltd.,ABLBL,Retailing,Retailing,10838
468,Olectra Greentech Ltd.,OLECTRA,Automobile & Ancillaries,Automobiles-Trucks/Lcv,10818
469,Indiamart Intermesh Ltd.,INDIAMART,Information Technology,e-Commerce,10761
470,Brainbees Solutions Ltd.,FIRSTCRY,Information Technology,e-Commerce,10760
471,Rites Ltd.,RITES,Other,Engineering Consultancy,10631
472,SBFC Finance Ltd.,SBFC,Finance,Finance - NBFC,10414
473,Bombay Burmah Trading Corporation Ltd.,BBTC,Automobile & Ancillaries,Auto Ancillary,10241
474,Saregama India Ltd.,SAREGAMA,Media & Entertainment,"Film Production, Distribution & Entertainment",10161
475,Jain Resource Recycling Ltd.,JAINREC,Non - Ferrous Metals,Metal - Non Ferrous,10135
476,Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables,Consumer Durables - Domestic Appliances,9885
477,Afcons Infrastructure Ltd.,AFCONS,Infrastructure,Engineering - Construction,9884
478,Zee Entertainment Enterprises Ltd.,ZEEL,Media & Entertainment,TV Broadcasting & Software Production,9817
479,Intellect Design Arena Ltd.,INTELLECT,Information Technology,IT - Software,9815
480,Bata India Ltd.,BATAINDIA,Retailing,Footwear,9710
481,Elecon Engineering Company Ltd.,ELECON,Capital Goods,Engineering - Industrial Equipments,9705
482,MMTC Ltd.,MMTC,Trading,Trading,9648
483,Tejas Networks Ltd.,TEJASNET,Telecom,Telecommunication - Equipment,9568
484,Swan Corp Ltd.,SWANCORP,Textile,Textile,9535
485,Reliance Power Ltd.,RPOWER,Power,Power Generation/Distribution,9508
486,Sonata Software Ltd.,SONATSOFTW,Information Technology,IT - Software,9140
487,Cyient Ltd.,CYIENT,Information Technology,IT - Software,9076
488,Railtel Corporation Of India Ltd.,RAILTEL,Telecom,Telecommunication - Service  Provider,9054
489,Transformers & Rectifiers (India) Ltd.,TARIL,Capital Goods,Electric Equipment,8940
490,NCC Ltd.,NCC,Infrastructure,Engineering - Construction,8834
491,Clean Science And Technology Ltd.,CLEAN,Chemicals,Chemicals,8728
492,Birlasoft Ltd.,BSOFT,Information Technology,IT - Software,8718
493,Lemon Tree Hotels Ltd.,LEMONTREE,Hospitality,"Hotel, Resort & Restaurants",8628
494,RHI Magnesita India Ltd.,RHIM,Capital Goods,Refractories,7848
495,Newgen Software Technologies Ltd.,NEWGEN,Information Technology,IT - Software,7626
496,Tata Teleservices (Maharashtra) Ltd.,TTML,Telecom,Telecommunication - Service  Provider,7546
497,Sapphire Foods India Ltd.,SAPPHIRE,Fast Moving Consumer Goods,Consumer Food,7544
498,Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,Retailing,6834
499,Latent View Analytics Ltd.,LATENTVIEW,Other,Business Support,5891
500,CE Info Systems Ltd.,MAPMYINDIA,Information Technology,IT - Software,5419
